Session ID,Station ID,Station Location,Charging Start Time,Charging End Time,Charging Duration (mins),Energy Consumed (kWh),Vehicle Type,Battery Level Start (%),Battery Level End (%),Cost of Charging (₹/$),Payment Method,Station Type,Connector Type,User ID,Subscription Plan,Renewable Energy Source Used (%),Charging Station Rating,Charging Status,Comments/Issues
ea271d2b,ST0100,Miami,32:21.9,58:21.9,26,5.23,Hatchback,73,90,2.16,UPI,Slow Charger,Tesla Supercharger,USER7673,Free,13,3.1,Successful,Great experience
73e4ad8f,ST0073,Seattle,32:21.9,11:21.9,39,17.53,Sedan,28,62,6.86,Debit Card,Slow Charger,Tesla Supercharger,USER9972,Monthly,43,3,Successful,Great experience
67827164,ST0078,Miami,32:21.9,11:21.9,39,45.22,Sedan,68,100,18.59,Cash,Level 2 Charger,Tesla Supercharger,USER7523,Annual,69,1.1,Successful,Charger not working
27fe4dc7,ST0097,Chicago,32:21.9,34:21.9,62,30.08,Truck,38,54,6.57,UPI,Level 2 Charger,Tesla Supercharger,USER6090,Free,42,2,Successful,Expensive
05e5b57e,ST0049,Chicago,32:21.9,31:21.9,119,26.82,SUV,55,92,9.36,Credit Card,Slow Charger,Type 2,USER7473,Pay-as-you-go,100,1.7,Successful,
dd67dd46,ST0013,Chicago,32:21.9,12:21.9,100,34.48,Truck,50,81,14.83,UPI,DC Fast Charger,Type 2,USER5301,Monthly,59,2.4,Successful,Charger not working
0f2e418e,ST0026,Boston,32:21.9,45:21.9,73,5.45,Motorbike,21,57,2.3,Cash,Level 2 Charger,Type 2,USER9342,Annual,19,2,In Progress,Charging interrupted
a3bf0831,ST0084,Houston,32:21.9,27:21.9,115,15.3,SUV,65,83,6.18,Cash,Slow Charger,Tesla Supercharger,USER5066,Free,38,4.9,Failed,Charging interrupted
23075f1b,ST0074,Boston,32:21.9,36:21.9,64,41.14,Hatchback,73,94,19.61,UPI,Slow Charger,Type 2,USER3658,Monthly,52,1.6,In Progress,Charging interrupted
8f1a87e6,ST0086,Miami,32:21.9,19:21.9,47,16.99,Bus,67,98,4.61,Debit Card,Slow Charger,CCS,USER1344,Monthly,30,2.7,Failed,Charging interrupted
e1847e15,ST0014,Boston,32:21.9,43:21.9,71,15.15,Bus,74,94,6.3,UPI,Level 2 Charger,Tesla Supercharger,USER1203,Pay-as-you-go,12,4,Successful,
679608f2,ST0093,Houston,32:21.9,23:21.9,51,30.07,Motorbike,57,85,8.71,Wallet,Fast Charger,Type 2,USER6057,Annual,43,3.3,Failed,Charging interrupted
9bb8919f,ST0026,Chicago,32:21.9,32:21.9,60,49.78,Bus,36,65,24.88,Cash,Level 2 Charger,CHAdeMO,USER5545,Monthly,41,1.1,Failed,Charging interrupted
ca8daa03,ST0031,Boston,32:21.9,44:21.9,72,21.07,Truck,18,54,6.99,Wallet,Fast Charger,CCS,USER6421,Monthly,76,2.2,Failed,Charging interrupted
f804af40,ST0080,Chicago,32:21.9,18:21.9,46,8.18,Truck,53,83,3.95,Credit Card,Slow Charger,CCS,USER6545,Annual,18,1.7,Successful,Slow charging
f9825f79,ST0063,San Francisco,32:21.9,17:21.9,45,14.7,Sedan,15,49,5.22,Credit Card,Slow Charger,CCS,USER9602,Annual,31,3.4,In Progress,Charging interrupted
d57e77c1,ST0027,New York,32:21.9,43:21.9,71,8.38,Motorbike,46,59,3.9,UPI,Fast Charger,Type 2,USER3816,Pay-as-you-go,11,3.3,Successful,Expensive
8aadecbe,ST0059,Los Angeles,32:21.9,58:21.9,86,48.36,Truck,18,49,18.05,Debit Card,Fast Charger,Tesla Supercharger,USER6508,Monthly,19,4.6,Successful,Convenient location
4c26eb78,ST0018,Chicago,32:21.9,20:21.9,108,39.56,Hatchback,69,100,11.61,Debit Card,Fast Charger,Type 2,USER3033,Annual,48,2.7,Failed,Charging interrupted
3c64cb57,ST0098,New York,32:21.9,11:21.9,39,27.3,Sedan,5,21,8.29,Cash,DC Fast Charger,Type 2,USER2113,Annual,81,2.8,Successful,Convenient location
16c09ea9,ST0043,Houston,32:21.9,55:21.9,83,48.45,Motorbike,58,79,20.67,Debit Card,Level 2 Charger,CHAdeMO,USER6403,Free,75,4.5,Successful,Convenient location
5fca0cb9,ST0003,Chicago,32:21.9,32:21.9,120,30.25,Sedan,5,22,12.42,Wallet,DC Fast Charger,Type 2,USER7847,Monthly,74,3.3,In Progress,Charging interrupted
cbb0bbd2,ST0022,Seattle,32:21.9,33:21.9,61,45.36,SUV,67,85,18.98,Cash,Level 2 Charger,CHAdeMO,USER4590,Free,5,3.8,In Progress,Charging interrupted
4a805ddd,ST0017,Los Angeles,32:21.9,23:21.9,51,12.63,Bus,39,55,6.03,Debit Card,Level 2 Charger,CCS,USER9070,Pay-as-you-go,75,3.2,Failed,Charging interrupted
0fa38e09,ST0061,Seattle,32:21.9,57:21.9,25,32.93,Hatchback,23,62,13.25,Wallet,Slow Charger,CCS,USER8316,Annual,55,4.1,Successful,Convenient location
2f6b58cb,ST0090,Los Angeles,32:21.9,27:21.9,115,25.46,Truck,47,74,11.96,Cash,DC Fast Charger,CCS,USER4117,Pay-as-you-go,34,5,In Progress,Charging interrupted
a81bba36,ST0009,Boston,32:21.9,49:21.9,17,33.6,Hatchback,41,80,8.7,UPI,Fast Charger,Type 2,USER2544,Pay-as-you-go,96,1.6,In Progress,Charging interrupted
672c803f,ST0059,Los Angeles,32:21.9,28:21.9,56,8.98,SUV,18,38,3.73,UPI,Fast Charger,Type 2,USER2103,Monthly,92,2.4,In Progress,Charging interrupted
5282c942,ST0097,San Francisco,32:21.9,03:21.9,31,44.06,Motorbike,10,42,14.2,Cash,Level 2 Charger,Type 2,USER3734,Pay-as-you-go,11,1.4,Successful,
557e1664,ST0080,Boston,32:21.9,34:21.9,62,31.72,Truck,42,57,13.68,Cash,Slow Charger,Type 2,USER7694,Annual,86,1.3,In Progress,Charging interrupted
ede2ec4c,ST0023,Miami,32:21.9,57:21.9,25,40.32,Sedan,15,54,10.17,Debit Card,Level 2 Charger,Tesla Supercharger,USER9702,Monthly,97,3.8,Failed,Charging interrupted
921b8c84,ST0090,New York,32:21.9,08:21.9,36,17.61,Hatchback,78,100,7.55,Credit Card,DC Fast Charger,Type 2,USER7320,Pay-as-you-go,34,2.4,Successful,
b13f4565,ST0041,Chicago,32:21.9,37:21.9,65,18.85,SUV,73,100,7.39,UPI,Level 2 Charger,Tesla Supercharger,USER1289,Free,6,3,Successful,Slow charging
8f0a3c94,ST0051,New York,32:21.9,30:21.9,58,13.56,SUV,58,78,4.57,UPI,DC Fast Charger,CHAdeMO,USER4997,Annual,20,1.4,Successful,
be72bd32,ST0026,Houston,32:21.9,23:21.9,111,25.05,SUV,68,86,9.59,Wallet,Slow Charger,CHAdeMO,USER3214,Free,8,4.5,Successful,Slow charging
5d0f7120,ST0003,New York,32:21.9,42:21.9,70,14.7,Bus,64,77,3.2,Credit Card,Fast Charger,Tesla Supercharger,USER8974,Free,70,3.4,Failed,Charging interrupted
3689268,ST0091,Miami,32:21.9,16:21.9,104,25.39,Truck,21,33,12.57,Wallet,DC Fast Charger,Type 2,USER1500,Annual,76,2.5,Successful,Charger not working
84a31e20,ST0002,San Francisco,32:21.9,02:21.9,90,29.65,Motorbike,56,88,8.93,Wallet,Level 2 Charger,CHAdeMO,USER7287,Pay-as-you-go,97,2.4,In Progress,Charging interrupted
fa7ccc33,ST0081,Boston,32:21.9,19:21.9,47,35.56,Hatchback,42,74,11.48,Credit Card,Slow Charger,Tesla Supercharger,USER7473,Annual,84,2,Failed,Charging interrupted
ff50d745,ST0026,Seattle,32:21.9,11:21.9,99,7.74,Truck,75,93,1.93,UPI,Fast Charger,Tesla Supercharger,USER9457,Free,73,1,Failed,Charging interrupted
2e6d540c,ST0049,New York,32:21.9,43:21.9,71,20.57,Motorbike,30,68,8.89,UPI,Slow Charger,Type 2,USER8701,Annual,57,4.6,Successful,Great experience
f87e6b20,ST0047,Houston,32:21.9,50:21.9,78,27.79,Hatchback,49,78,6.42,UPI,Slow Charger,CCS,USER2928,Annual,89,2.3,In Progress,Charging interrupted
c0abaeb4,ST0008,Los Angeles,32:21.9,25:21.9,53,40.27,Bus,7,22,19.77,Debit Card,Slow Charger,Type 2,USER4335,Annual,25,2.7,In Progress,Charging interrupted
44d0e1ab,ST0097,Houston,32:21.9,15:21.9,43,38.55,Motorbike,10,39,13.85,Cash,Level 2 Charger,Type 2,USER6464,Monthly,71,1.9,In Progress,Charging interrupted
c746f19d,ST0049,Boston,32:21.9,09:21.9,37,36.53,SUV,75,100,12.44,Wallet,DC Fast Charger,CHAdeMO,USER2540,Monthly,84,4.2,Failed,Charging interrupted
7.35E+11,ST0021,San Francisco,32:21.9,50:21.9,78,29.5,Bus,24,51,11.11,Wallet,Fast Charger,CCS,USER4770,Monthly,72,3.5,Successful,Expensive
9c22f422,ST0100,Chicago,32:21.9,55:21.9,23,49.94,Sedan,8,31,10.02,Credit Card,Fast Charger,Type 2,USER4465,Annual,29,2.3,Successful,Charger not working
9320def3,ST0085,Miami,32:21.9,11:21.9,39,41.24,Sedan,33,54,15.01,Cash,Fast Charger,CCS,USER2473,Monthly,35,2,Failed,Charging interrupted
9d791285,ST0026,Boston,32:21.9,57:21.9,85,44.21,Bus,15,50,15.89,Cash,Slow Charger,Tesla Supercharger,USER9167,Annual,51,1.7,Failed,Charging interrupted
e84dbbf6,ST0036,Seattle,32:21.9,54:21.9,22,36.65,SUV,64,93,16.67,Credit Card,Slow Charger,CCS,USER7895,Free,23,4.8,Failed,Charging interrupted
7a1c9dbf,ST0034,Boston,32:21.9,23:21.9,111,30.65,Hatchback,65,87,8.23,Credit Card,Level 2 Charger,CHAdeMO,USER3280,Monthly,80,4.6,Successful,Charger not working
604ef1b8,ST0092,Los Angeles,32:21.9,22:21.9,110,7.63,SUV,77,94,2.75,Wallet,Slow Charger,CCS,USER4736,Free,49,3.8,In Progress,Charging interrupted
6df2c257,ST0049,Seattle,32:21.9,54:21.9,22,28.51,Bus,22,44,10.2,Wallet,Fast Charger,CCS,USER9962,Monthly,95,2.7,Successful,Charger not working
37a3c088,ST0067,New York,32:21.9,11:21.9,99,22.77,Hatchback,18,51,9.34,Debit Card,DC Fast Charger,CCS,USER5167,Pay-as-you-go,83,1.5,In Progress,Charging interrupted
640de9e7,ST0073,Boston,32:21.9,00:21.9,28,43.68,Sedan,71,100,18.78,Cash,Slow Charger,Type 2,USER7289,Pay-as-you-go,56,2.5,Successful,Slow charging
a2d10c51,ST0060,Houston,32:21.9,56:21.9,24,11.2,Sedan,67,79,3.82,Credit Card,Fast Charger,Type 2,USER4099,Pay-as-you-go,18,2.4,Successful,Charger not working
7d52dfb8,ST0032,San Francisco,32:21.9,38:21.9,66,20.28,Sedan,68,100,4.48,Debit Card,DC Fast Charger,Tesla Supercharger,USER9661,Free,31,2,Successful,Slow charging
671b2248,ST0075,San Francisco,32:21.9,00:21.9,88,49.53,Sedan,65,85,18.44,Wallet,Slow Charger,CCS,USER3954,Free,83,1.4,Successful,
04ace39d,ST0056,Boston,32:21.9,47:21.9,75,9.24,Hatchback,10,39,4.52,Debit Card,Slow Charger,Type 2,USER9226,Free,88,3.3,In Progress,Charging interrupted
c331eda8,ST0082,New York,32:21.9,30:21.9,58,38.7,Truck,55,79,12.21,UPI,DC Fast Charger,CCS,USER4295,Monthly,29,1.9,Successful,Expensive
6e95e093,ST0100,Los Angeles,32:21.9,09:21.9,37,9.44,Motorbike,62,79,2.64,UPI,Fast Charger,CCS,USER2209,Annual,12,4.5,Successful,Convenient location
283c86f5,ST0074,Los Angeles,32:21.9,14:21.9,42,14.28,Bus,19,37,4.88,UPI,Level 2 Charger,Tesla Supercharger,USER7105,Pay-as-you-go,48,4.4,Failed,Charging interrupted
b55e5e6a,ST0026,Boston,32:21.9,44:21.9,72,16.05,Motorbike,46,69,3.76,Cash,Fast Charger,CHAdeMO,USER5225,Annual,52,4.6,Successful,Great experience
bad3bfef,ST0089,Houston,32:21.9,30:21.9,118,21.09,Bus,61,88,8.52,Credit Card,Level 2 Charger,Tesla Supercharger,USER6131,Pay-as-you-go,81,4,Failed,Charging interrupted
19fb203c,ST0056,Seattle,32:21.9,14:21.9,102,13.36,SUV,29,62,4.68,Wallet,DC Fast Charger,CCS,USER4213,Monthly,98,2.2,Successful,Slow charging
1da0ec90,ST0034,New York,32:21.9,30:21.9,118,34.71,Truck,48,65,14.85,UPI,Level 2 Charger,CHAdeMO,USER6255,Annual,23,2.7,Failed,Charging interrupted
a8ffc6c1,ST0089,Los Angeles,32:21.9,40:21.9,68,21.96,Truck,71,81,9.02,Debit Card,Fast Charger,CHAdeMO,USER2093,Monthly,93,4.5,Successful,Expensive
7fd5ef3f,ST0067,Los Angeles,32:21.9,58:21.9,26,40.53,Bus,21,41,15.23,Debit Card,DC Fast Charger,Type 2,USER7407,Monthly,31,3.3,Successful,
9e10dad7,ST0077,Seattle,32:21.9,10:21.9,38,13.6,Truck,7,19,6.05,Debit Card,Fast Charger,Type 2,USER8248,Annual,40,3.3,In Progress,Charging interrupted
9e1c8627,ST0086,New York,32:21.9,23:21.9,51,27.52,SUV,73,94,8.8,Wallet,Slow Charger,Tesla Supercharger,USER7996,Pay-as-you-go,71,3,In Progress,Charging interrupted
699b279e,ST0012,Miami,32:21.9,33:21.9,61,31.33,Truck,79,100,15.05,Cash,Level 2 Charger,Tesla Supercharger,USER5978,Pay-as-you-go,60,3,In Progress,Charging interrupted
2590df37,ST0021,Miami,32:21.9,39:21.9,67,6.62,Truck,48,63,3.07,Debit Card,Level 2 Charger,CHAdeMO,USER8213,Pay-as-you-go,84,1.6,Successful,Slow charging
4be77124,ST0085,San Francisco,32:21.9,29:21.9,117,10.27,Bus,76,99,4.2,Debit Card,Level 2 Charger,CHAdeMO,USER9183,Monthly,79,3.3,Successful,Slow charging
a6eb786a,ST0054,Chicago,32:21.9,14:21.9,42,5.01,Sedan,28,40,1.92,Cash,Fast Charger,Type 2,USER5249,Annual,62,3.6,Failed,Charging interrupted
68777d99,ST0076,Boston,32:21.9,27:21.9,115,7.68,SUV,5,40,1.63,Cash,Level 2 Charger,CHAdeMO,USER5055,Pay-as-you-go,7,4,In Progress,Charging interrupted
ccd569f6,ST0054,Boston,32:21.9,09:21.9,37,45.95,Truck,54,81,22.33,Credit Card,DC Fast Charger,Tesla Supercharger,USER1770,Pay-as-you-go,48,4.8,Successful,Slow charging
f10449a2,ST0094,Boston,32:21.9,45:21.9,73,33.51,Hatchback,46,66,10.46,Wallet,Fast Charger,CCS,USER4709,Annual,39,2.4,In Progress,Charging interrupted
8fa024d9,ST0072,Los Angeles,32:21.9,49:21.9,17,27.31,Sedan,22,34,6.18,Cash,DC Fast Charger,Tesla Supercharger,USER5643,Monthly,96,2.6,In Progress,Charging interrupted
f2551178,ST0050,Boston,32:21.9,20:21.9,108,35.99,Truck,59,71,10.56,Debit Card,Level 2 Charger,Tesla Supercharger,USER4665,Annual,65,4.1,Failed,Charging interrupted
a8881ccb,ST0034,Seattle,32:21.9,30:21.9,58,28.51,Sedan,43,80,8.24,Credit Card,Level 2 Charger,Tesla Supercharger,USER1082,Annual,34,3.7,In Progress,Charging interrupted
e724b49c,ST0058,Seattle,32:21.9,11:21.9,39,10.49,Sedan,73,99,2.25,Cash,Slow Charger,Tesla Supercharger,USER7272,Pay-as-you-go,38,3.7,In Progress,Charging interrupted
2bc4ec81,ST0015,Houston,32:21.9,13:21.9,41,46.6,Truck,37,56,21.14,UPI,Slow Charger,CCS,USER8925,Free,42,2.7,Successful,Convenient location
8a594e57,ST0055,San Francisco,32:21.9,02:21.9,90,31.84,Hatchback,5,39,7.74,UPI,Level 2 Charger,Type 2,USER5059,Pay-as-you-go,35,3.3,Failed,Charging interrupted
eb5838e4,ST0004,Miami,32:21.9,48:21.9,16,18.16,Truck,25,56,5.08,UPI,Level 2 Charger,Type 2,USER1025,Monthly,60,4.9,In Progress,Charging interrupted
5756a179,ST0022,Chicago,32:21.9,34:21.9,62,49.46,Sedan,58,81,16.07,Debit Card,Fast Charger,CCS,USER1049,Monthly,98,3.8,Failed,Charging interrupted
40a994d9,ST0010,San Francisco,32:21.9,30:21.9,58,34,Truck,46,66,14.63,Cash,Fast Charger,CHAdeMO,USER6850,Free,29,2.2,Successful,Great experience
141729bc,ST0050,Houston,32:21.9,13:21.9,41,37.41,SUV,77,90,18.03,Wallet,Level 2 Charger,Tesla Supercharger,USER4078,Pay-as-you-go,51,4,Successful,Slow charging
127d042e,ST0065,Boston,32:21.9,56:21.9,84,43.43,Bus,33,57,18.94,Cash,Level 2 Charger,Tesla Supercharger,USER8564,Pay-as-you-go,46,2.4,Failed,Charging interrupted
d406b470,ST0020,San Francisco,32:21.9,37:21.9,65,17.59,Bus,80,98,7.33,Debit Card,Level 2 Charger,CHAdeMO,USER4993,Annual,9,1.8,Successful,Convenient location
97a4b816,ST0097,New York,32:21.9,59:21.9,27,7.26,Bus,55,95,1.67,Cash,DC Fast Charger,Type 2,USER5214,Annual,44,1.1,Successful,
693e3c38,ST0085,San Francisco,32:21.9,23:21.9,111,6.59,Sedan,73,98,2.68,Wallet,Slow Charger,CCS,USER6675,Pay-as-you-go,80,4.9,Failed,Charging interrupted
95243c8e,ST0068,San Francisco,32:21.9,42:21.9,70,38.15,Truck,73,95,15.76,Wallet,DC Fast Charger,CCS,USER5425,Annual,82,3.6,Successful,Slow charging
37192df5,ST0095,Houston,32:21.9,53:21.9,21,37.64,Motorbike,22,36,18.28,Debit Card,Slow Charger,Type 2,USER9597,Pay-as-you-go,23,3.5,In Progress,Charging interrupted
88e9fb8f,ST0067,Chicago,32:21.9,25:21.9,53,49.93,Sedan,63,85,14.29,Debit Card,DC Fast Charger,CHAdeMO,USER7729,Free,42,2,Successful,Slow charging
94ac0a6a,ST0053,Miami,32:21.9,54:21.9,82,45.81,Truck,23,39,10.2,Cash,Slow Charger,CHAdeMO,USER6943,Pay-as-you-go,35,1.3,In Progress,Charging interrupted
d6ed69f2,ST0024,Seattle,32:21.9,42:21.9,70,36.5,Hatchback,80,100,12.61,Wallet,Fast Charger,Tesla Supercharger,USER3333,Free,1,4.6,Successful,Convenient location
fabd556f,ST0015,Boston,32:21.9,15:21.9,103,48.69,Hatchback,64,86,18.18,Credit Card,DC Fast Charger,CHAdeMO,USER5054,Free,87,4.8,Successful,Great experience
b1e91012,ST0067,Chicago,32:21.9,04:21.9,92,35.22,Bus,63,77,12.52,Credit Card,Level 2 Charger,CCS,USER9785,Pay-as-you-go,3,3.7,Failed,Charging interrupted
ebc67609,ST0097,Seattle,32:21.9,39:21.9,67,41.39,Motorbike,68,100,10.31,Debit Card,Fast Charger,Type 2,USER2336,Monthly,25,3.3,Failed,Charging interrupted
d9312d7e,ST0062,Miami,32:21.9,12:21.9,40,40.25,Bus,78,100,10.02,UPI,Level 2 Charger,CCS,USER2103,Annual,76,4.7,Successful,Expensive
a206cad9,ST0068,San Francisco,32:21.9,16:21.9,104,13.29,SUV,53,63,4.92,Cash,Slow Charger,Type 2,USER8390,Annual,28,3.7,In Progress,Charging interrupted
9ba7a819,ST0020,Chicago,32:21.9,49:21.9,77,26.97,SUV,35,70,8.41,Debit Card,Level 2 Charger,Tesla Supercharger,USER3716,Pay-as-you-go,59,1.2,Failed,Charging interrupted
cf7fcc2f,ST0021,Seattle,32:21.9,53:21.9,21,6.52,Bus,5,16,1.72,Debit Card,DC Fast Charger,CHAdeMO,USER1136,Annual,12,2.1,Failed,Charging interrupted
a2174501,ST0096,Los Angeles,32:21.9,12:21.9,100,26.06,Hatchback,35,47,9.23,Debit Card,DC Fast Charger,CCS,USER3900,Pay-as-you-go,5,2.4,Failed,Charging interrupted
5911f26a,ST0095,Houston,32:21.9,54:21.9,82,27.36,SUV,21,53,11.58,Credit Card,DC Fast Charger,Tesla Supercharger,USER3085,Free,79,3.4,Successful,Charger not working
d47a3738,ST0084,San Francisco,32:21.9,40:21.9,68,28.22,Bus,30,60,13.41,Wallet,Fast Charger,CCS,USER8521,Monthly,57,4,Successful,Charger not working
466ea696,ST0003,Los Angeles,32:21.9,52:21.9,20,13.49,Motorbike,48,86,5.65,Credit Card,Fast Charger,CHAdeMO,USER8709,Free,6,3.5,Successful,Great experience
f76d5528,ST0082,Los Angeles,32:21.9,28:21.9,56,17.59,Hatchback,8,44,5,Credit Card,Fast Charger,Type 2,USER9258,Pay-as-you-go,68,4.6,Successful,Charger not working
01e61395,ST0064,Houston,32:21.9,50:21.9,18,36.78,Bus,62,100,10.94,Cash,Slow Charger,CHAdeMO,USER3508,Pay-as-you-go,36,4.2,Successful,
6017b368,ST0038,Houston,32:21.9,26:21.9,54,49.39,Hatchback,23,48,10.19,UPI,Fast Charger,CCS,USER1005,Annual,90,4.8,Successful,
f01daf40,ST0030,Los Angeles,32:21.9,55:21.9,23,30.57,Truck,57,80,10.97,Credit Card,Slow Charger,CHAdeMO,USER6789,Pay-as-you-go,61,3.9,Successful,Expensive
3c0f5444,ST0018,Seattle,32:21.9,27:21.9,115,32.31,Truck,68,96,15.97,Credit Card,Slow Charger,CCS,USER6007,Annual,63,3,Failed,Charging interrupted
b21ca60c,ST0084,San Francisco,32:21.9,05:21.9,93,48.29,Hatchback,5,29,22.85,Debit Card,DC Fast Charger,Tesla Supercharger,USER6332,Free,58,4.2,Failed,Charging interrupted
63a2dc00,ST0042,Boston,32:21.9,40:21.9,68,11.99,Motorbike,26,59,4.5,Cash,Level 2 Charger,Type 2,USER7448,Free,95,2.6,In Progress,Charging interrupted
0e8dbc4a,ST0078,Boston,32:21.9,22:21.9,110,26.29,Bus,40,66,5.85,Debit Card,DC Fast Charger,CHAdeMO,USER1811,Annual,51,1,In Progress,Charging interrupted
f6e3e44d,ST0017,Miami,32:21.9,06:21.9,34,18.06,Bus,13,44,8.06,Cash,Slow Charger,Tesla Supercharger,USER3269,Pay-as-you-go,13,3.3,Failed,Charging interrupted
3211252,ST0087,New York,32:21.9,48:21.9,16,42.59,Motorbike,55,74,18.93,Credit Card,Fast Charger,Type 2,USER1991,Monthly,56,2.5,Successful,Convenient location
117cc144,ST0027,Miami,32:21.9,34:21.9,62,27.76,Hatchback,35,72,6.04,Cash,Level 2 Charger,Tesla Supercharger,USER5942,Pay-as-you-go,16,2.9,In Progress,Charging interrupted
d04aaa88,ST0100,New York,32:21.9,32:21.9,120,21.89,Sedan,11,44,6.11,Wallet,DC Fast Charger,Type 2,USER3242,Free,85,4.1,In Progress,Charging interrupted
e80c0def,ST0011,Miami,32:21.9,09:21.9,37,23.63,SUV,16,35,10.11,Credit Card,Fast Charger,Type 2,USER7685,Pay-as-you-go,87,3.6,In Progress,Charging interrupted
931a1f70,ST0058,Los Angeles,32:21.9,11:21.9,99,14.9,Motorbike,66,81,5.92,UPI,Level 2 Charger,CCS,USER3396,Free,49,4.8,Successful,
d7e03f79,ST0039,Boston,32:21.9,02:21.9,30,12.52,Motorbike,34,58,2.75,Wallet,DC Fast Charger,Type 2,USER6341,Free,83,4.8,Successful,Convenient location
ee2e3ebc,ST0034,Seattle,32:21.9,35:21.9,63,16.35,SUV,32,46,4.11,Cash,Level 2 Charger,CCS,USER5909,Pay-as-you-go,81,1.7,In Progress,Charging interrupted
573b17a5,ST0059,Seattle,32:21.9,50:21.9,18,31,Truck,37,74,7.5,Credit Card,Level 2 Charger,Type 2,USER8499,Annual,5,3.3,Failed,Charging interrupted
